"LANGUAGE","Polski","Language name (in native language).  This means the NAME OF THE LANGUAGE BEING TRANSLATED INTO, and should NOT be a translation of the word 'English'"
"WHATSNEW_L1","Modyfikacja została zaktualizowana.",""
"WHATSNEW_L2","W celu poznania pełnej listy zmian, sprawdź Steam Workshop lub GitHub.",""
"WHATSNEW_L3","Dziękuję za korzystanie z moda i wsparcie!",""
"MOD_DESCRIPTION","Drive vehicles around your very own city!",""
"SETTINGS_GROUP_GENERAL","General Settings",""
"SETTINGS_GROUP_VEHICLE","Vehicle Settings",""
"SETTINGS_GROUP_CAMERA","Camera Settings",""
"SETTINGS_GROUP_GAME","Gameplay Settings",""
"SETTINGS_GROUP_KEYS","Keybinds",""
"SETTINGS_MAXVELOCITY","Maximum velocity",""
"SETTINGS_ENGINEPOWER","Engine Power",""
"SETTINGS_BRAKINGFORCE","Braking Force",""
"SETTINGS_BUILDINGCOLLISION","Building collision",""
"SETTINGS_VEHICLECOLLISION","Vehicle collision",""
"SETTINGS_OFFSET_X","Camera offset X",""
"SETTINGS_OFFSET_Y","Camera offset Y",""
"SETTINGS_OFFSET_Z","Camera offset Z",""
"SETTINGS_KEYUUITOGGLE","Toggle main panel (requires UUI mod)",""
"SETTINGS_KEYLIGHTTOGGLE","Toggle head light",""
"SETTINGS_KEYSIRENTOGGLE","Toggle siren for special vehicles",""
"MAINPANELBTN_TOOLTIP","IOperateIt+",""
"DRIVEBTN_TOOLTIP","Start driving",""
"SPAWNBTN_TEXT","Spawn vehicle",""
"MODSETTINGSBTN_TEXT","Mod settings",""
"ROAD_SELECT","Select a road segment to start driving",""
